name	kind	query	description	comment	url	source
acetylurea	SMILES	C1C(=O)NC(=O)N1	""	unchecked	""	PDBe
acridine	SMILES	c1ccc2c(c1)nc1c(c2)cccc1	""	unchecked	""	PDBe
acridone	SMILES	c1ccc2c(c1)C(c1c(N2)cccc1)O	""	unchecked	""	PDBe
actinophenoxazine	SMILES	c1ccc2c(c1)Nc1c(O2)cc(c(c1)N)O	""	unchecked	""	PDBe
adenine	SMILES	n1c(c2c(nc1)nc[nH]2)N	"Adenine is a nucleobase (a purine derivative)."	unchecked	https://en.wikipedia.org/wiki/Adenine	PDBe
alkaloid	SMILES	c1ccc2c(c1)CC1C3C2(CCCC3)CCN1	""	unchecked	""	PDBe
amide	SMARTS	[NX3][CX3](=[OX1])[#6]	"carboxyamide"	unchecked	https://en.wikipedia.org/wiki/Amide	PDBe
barbit	SMILES	C1(=*)NC(=O)CC(=O)N1	""	unchecked	""	PDBe
barbiturates	SMILES	C1C(=O)NC(=O)C1N	""	unchecked	""	PDBe
barbiturgroup	SMILES	C1C(=O)NC(=O)*1	""	unchecked	""	PDBe
benzimidazole	SMILES	c12nc[nH]c1cccc2	""	unchecked	""	PDBe
benzodiazepine	SMILES	c1ccc2c(c1)NC=CN=C2	""	unchecked	""	PDBe
benzofuran	SMILES	c12c(CCO1)cccc2	""	unchecked	""	PDBe
benzoisoquinoline	SMILES	c1cccc2c1ccc1c2cncc1	""	unchecked	""	PDBe
benzothiadiazide	SMILES	c1ccc2c(c1)SNC=N2	""	unchecked	""	PDBe
benzothiazole	SMILES	c12scnc1cccc2	""	unchecked	""	PDBe
benzothiophen	SMILES	c12c(ccs1)cccc2	""	unchecked	""	PDBe
benzoxazole	SMILES	c12ocnc1cccc2	""	unchecked	""	PDBe
bilirubin	SMILES	c1c([nH]c(c1)Cc1ccc([nH]1)Cc1ccc[nH]1)Cc1ccc[nH]1	""	unchecked	""	PDBe
biotin	SMILES	C1(NC2C(N1)CSC2)O	""	unchecked	""	PDBe
carbazole	SMILES	c12c(c3c([nH]1)cccc3)cccc2	""	unchecked	""	PDBe
cephalosporin	SMILES	C1C(N2C1SCCC2)O	""	unchecked	""	PDBe
chlorin	SMILES	C(N1)(/C=C2N=C(C=C\2)/C=C3N/C(C=C\3)=C\4)=CC=C1/C=C5CCC4=N/5	"metal chelating ring in chlorophyll"	unchecked	https://en.wikipedia.org/wiki/Chlorin	PDBe
chromen	SMILES	c1cccc2c1C=CCO2	""	unchecked	""	PDBe
cinnoline	SMILES	c1cc2c(cc1)nncc2	""	unchecked	""	PDBe
coumarine	SMILES	c1ccc2c(c1)OC(C=C2O)O	""	unchecked	""	PDBe
cyclobutane	SMILES	C1CCC1	""	unchecked	""	PDBe
cyclohexane	SMILES	C1CCCCC1	""	unchecked	""	PDBe
cyclopentane	SMILES	C1CCCC1	""	unchecked	""	PDBe
cyclopropane	SMILES	C1CC1	""	unchecked	""	PDBe
cytosine	SMILES	C1=CNC(NC1N)O	""	unchecked	""	PDBe
deoxyribose	SMARTS	C1[CH2]C(O)C(O1)CO	"2-deoxyribose the monosaccharide found in DNA. Query will not match RNA ribose."	unchecked	https://en.wikipedia.org/wiki/Deoxyribose	PDBe
dibenzofuran	SMILES	c12c(c3c(o1)cccc3)cccc2	""	unchecked	""	PDBe
dibenzothiophen	SMILES	c12c(c3c(s1)cccc3)cccc2	""	unchecked	""	PDBe
dithiolane	SMILES	S1CCCS1	""	unchecked	""	PDBe
flavin	SMILES	c1ccc2c(c1)nc1c(n2)c(nc(n1)O)O	""	unchecked	""	PDBe
furan	SMILES	c1ccco1	""	unchecked	""	PDBe
furanose	SMILES	C1COC(C1)O	""	unchecked	""	PDBe
glycerophos	SMILES	C(C(COP(O)(O)O)O)O	""	unchecked	""	PDBe
guanine	SMILES	c1(nc(c2c(n1)nc[nH]2)O)N	""	unchecked	""	PDBe
imidazole	SMILES	c1c[nH]cn1	"Imidazole is an organic compound with the formula C3N2H4."	unchecked	https://en.wikipedia.org/wiki/Imidazole	PDBe
indole	SMILES	c12c(cc[nH]1)cccc2	""	unchecked	""	PDBe
inosine	SMILES	c1nc(c2c(n1)nc[nH]2)O	""	unchecked	""	PDBe
isoquinoline	SMILES	c1cc2c(cc1)cncc2	""	unchecked	""	PDBe
isoxadiazole	SMILES	n1cnco1	""	unchecked	""	PDBe
isoxazole	SMILES	c1ccno1	""	unchecked	""	PDBe
naphtyridine	SMILES	c1cnc2c(c1)nccc2	""	unchecked	""	PDBe
napthalene	SMILES	c1ccc2c(c1)cccc2	""	unchecked	""	PDBe
oxadiazole	SMILES	n1ccno1	""	unchecked	""	PDBe
oxazole	SMILES	c1cnco1	""	unchecked	""	PDBe
oxazolidinedione	SMILES	C1C(=O)NC(=O)O1	""	unchecked	""	PDBe
oxepin	SMILES	C1=COC=CC=C1	""	unchecked	""	PDBe
